Ano,Semestre,Codigo,Disciplinas,Codigo-Pre-Requisito,Pre-Requisito
1,1,CIC022MAT3,Fundamentos de Matematica
1,1,CIC029MAT3,Logica
1,1,CIC021FIC3,Fisica para Computacao
1,1,CIC030MAT3,Matematica Discreta
1,1,CIC026MAT3,Introducao a Ciencia da Computacao
1,1,CIC002MAT3,Algoritmos e Tecnicas de Programacao I
1,2,CIC007MAT3,Calculo Diferencial e Integral I
1,2,CIC020FIC3,Fisica Experimental
1,2,CIC012MAT3,Circuitos Digitais
1,2,CIC003MAT3,Algoritmos e Tecnicas de Programacao II
1,2,CIC023MAT3,Geometria Analitica e Vetores
1,2,CIC031MAT3,Metodologia Cientifica
2,1,CIC004MAT3,Arquitetura de Computadores
2,1,CIC008MAT3,Calculo Diferencial e Integral II
2,1,CIC018MAT3,Estrutura de Dados I,CIC002MAT3,Algoritmos e Tecnicas de Programacao I
2,1,CIC027MAT3,Linguagens de Programacao
2,1,CIC032MAT3,Microprocessadores
2,1,CIC037MAT3,Programacao Orientada a Objetos I,CIC002MAT3,Algoritmos e Tecnicas de Programacao I
2,1,CIC033EST3,Probabilidade e Estatistica I,CIC022MAT3,Fundamentos de Matematica
2,2,CIC045MAT3,Sistemas Operacionais I
2,2,CIC038MAT3,Programacao Orientada a Objetos II
2,2,CIC019MAT3,Estrutura de Dados II
2,2,CIC001MAT3,algebra Linear
2,2,CIC034EST3,Probabilidade e Estatistica II,CIC007MAT3,Calculo Diferencial e Integral I
2,2,CIC041MAT3,Projeto e Analise de Algoritmos,CIC003MAT3,Algoritmos e Tecnicas de Programacao II
2,2,CIC009MAT3,Calculo Diferencial e Integral III,CIC007MAT3,Calculo Diferencial e Integral I
3,1,CIC005MAT3,Banco de Dados I,CIC018MAT3,Estrutura de Dados I
3,1,CIC016MAT3,Engenharia de Software I,CIC037MAT3,Programacao Orientada a Objetos I
3,1,CIC046MAT3,Sistemas Operacionais II
3,1,CIC010MAT3,Calculo Diferencial e Integral IV,CIC008MAT3,Calculo Diferencial e Integral II
3,1,CIC042MAT3,Redes de Computadores I
3,1,CIC035MAT3,Processamento Digital de Imagens
3,1,CIC011MAT3,Calculo Numerico,CIC008MAT3,Calculo Diferencial e Integral II
3,2,CIC024MAT3,Inteligencia Artificial
3,2,CIC006MAT3,Banco de Dados II
3,2,CIC043MAT3,Redes de Computadores II
3,2,CIC015MAT3,Computacao Grafica,CIC001MAT3,algebra Linear
3,2,CIC039MAT3,Projeto Cientifico I,CIC031MAT3,Metodologia Cientifica
3,2,CIC039MAT3,Projeto Cientifico I,CIC018MAT3,Estrutura de Dados I
3,2,CIC039MAT3,Projeto Cientifico I,CIC045MAT3,Sistemas Operacionais I
3,2,CIC039MAT3,Projeto Cientifico I,CIC016MAT3,Engenharia de Software I
3,2,CIC039MAT3,Projeto Cientifico I,CIC005MAT3,Banco de Dados I
3,2,CIC039MAT3,Projeto Cientifico I,CIC042MAT3,Redes de Computadores I
3,2,CIC028MAT3,Linguagens Formais e Teoria da Computacao,CIC027MAT3,Linguagens de Programacao
3,2,CIC017MAT3,Engenharia de Software II,CIC038MAT3,Programacao Orientada a Objetos II
4,1,CIC013MAT3,Compiladores,CIC027MAT3,Linguagens de Programacao
4,1,CIC014MAT3,Computacao Distribuida e Paralela,CIC042MAT3,Redes de Computadores I
4,1,CIC036EST3,Programacao Linear,CIC011MAT3,Calculo Numerico
4,1,CIC040MAT3,Projeto Cientifico II,CIC039MAT3,Projeto Cientifico I
4,2,CIC025MAT3,Interface Homem-Maquina
4,2,CIC044MAT3,Seguranca da Informacao
4,2,CIC047MAT3,Trabalho de Conclusao de Curso,CIC040MAT3,Projeto Cientifico II